127.0.0.1 - - [15/Oct/2019:22:26:20 -0700] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:30 -0700] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:35 -0700] "GET /Jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:35 -0700] "GET /Jupiter/ HTTP/1.1" 200 3910
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:26:36 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:55 -0700] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:55 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:55 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:55 -0700] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:55 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:56 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:56 -0700] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:56 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:56 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:57 -0700] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:57 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [15/Oct/2019:22:36:57 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
